Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"Slot_CannotMoveToSame","ItemStorageData","Cannot move to the same slot.","","같은 슬롯으로 이동할 수 없습니다.",""
"Slot_ItemNotAvailable","ItemStorageData","No item to move.","","이동할 아이템이 없습니다.",""
"Slot_TargetSlotEmpty","ItemStorageData","Target slot is empty.","","대상 슬롯에 아이템이 없습니다.",""
"Slot_MergeDifferentTypes","ItemStorageData","Cannot merge different item types.","","다른 종류의 아이템은 합칠 수 없습니다.",""
"Slot_MergeNoSpace","ItemStorageData","Not enough space in target slot.","","대상 슬롯에 합칠 공간이 없습니다.",""
"Slot_MoveSuccess","ItemStorageData","Moved {0} items from {1} to {2}.","","{0}개 아이템이 {1} → {2}로 이동되었습니다.",""
"Currency_NoTypeInfo","PlayerData","No currency type info.","","재화 타입 정보가 없습니다.",""
"Currency_NotEnough","PlayerData","Not enough {currency}.","","{currency} 가 부족합니다.",""
"QuickSlot_NoSkillInfo","QuickSlotData","No skill info.","","스킬 정보가 없습니다.",""
"QuickSlot_SkillAlreadyAssigned","QuickSlotData","Skill is already assigned.","","이미 등록된 스킬입니다.",""
"QuickSlot_NotEnoughSpace","QuickSlotData","Not enough quick slot space.","","퀵슬롯에 공간이 부족합니다.",""
"QuickSlot_SkillNotLearned","QuickSlotData","Skill not learned yet.","","아직 스킬을 배우지 않았습니다.",""
"SaveSlot_NotSelected","SceneIntro","No save slot selected.\nPlease load first.","","선택된 슬롯이 없습니다.\n불러오기를 해주세요.",""
"SaveSlot_NoEmptySlot","SceneIntro","No empty save slot left.\nPlease delete existing data.","","남은 저장 슬롯이 없습니다.\n저장되어있는 데이터를 지워주세요.",""
"SaveSlot_ConfirmDeleteWarning","SceneIntro","Deleted data cannot be recovered.\nAre you sure you want to delete it?","","삭제한 데이터는 복구할 수 없습니다.\n정말로 삭제하시겠습니까?",""
"Inventory_SelectItemToSplit","UIWindowInventory","Please select an item to split.","","나누기를 할 아이템을 선택해주세요.",""
"Inventory_Split_MinimumTwo","UIWindowInventory","You can only split items with at least 2 count.","","아이템 개수가 2개 이상일때만 나눌 수 있습니다.",""
"LoadSave_NoSlotSelected","UIWindowLoadSaveData","No save slot selected.","","선택된 슬롯이 없습니다.",""
"Window_NoEmptySpace","UIWindow","No empty space in window.","","윈도우에 빈 공간이 없습니다.",""
"System_PlayerDied_MoveToTown","SceneGame","Player has died.\nReturning to town.","","플레이어가 사망하였습니다.\n마을로 이동합니다.",""
